,overpoints,to_end_seconds,interactions
1516,1357,28906,1
1517,1331,28905,1
1518,1361,28905,1
1527,1378,28904,2
1528,1627,28904,2
1529,1773,28904,2
1530,1841,28904,2
1531,1651,28904,2
1532,1867,28904,2
1533,2213,28904,2
1534,2628,28904,2
1535,3026,28904,2
1536,3767,28904,2
1537,4544,28903,2
1538,4854,28903,2
1539,5097,28903,2
1540,5344,28903,2
1541,4857,28903,2
1542,5020,28903,2
1543,5053,28903,2
1544,4762,28903,2
1545,4423,28903,2
1546,4233,28903,2
1547,3881,28902,2
1548,3568,28902,2
1549,3605,28902,2
1550,3522,28902,2
1551,3360,28902,2
1552,3243,28902,2
1553,3040,28902,2
1554,2625,28902,2
1555,2124,28902,2
1556,1608,28902,2
1557,1068,28901,2
1558,1395,28901,2
1559,1193,28901,2
1560,1022,28901,2
1561,1110,28900,2
1562,1292,28900,2
1563,1432,28900,2
1564,1574,28900,2
1565,1806,28900,2
1566,2059,28900,2
1567,2187,28900,2
1568,2201,28900,2
1569,2188,28900,2
1570,2274,28900,2
1571,2420,28899,2
1572,2553,28899,2
1573,2850,28899,2
1574,3562,28899,2
1575,4229,28899,2
1576,4470,28899,2
1577,4450,28899,2
1578,3655,28899,2
1579,2979,28899,2
1580,2595,28898,2
1581,2562,28898,2
1582,2633,28898,2
1583,2579,28898,2
